# id,snap_id,uid,x,y,z,x_pixel,y_pixel,i_sector,M500_msolh,r500_kpch,gas_frac,star_frac,T_kev,Lx_ergs,Y500c,M_sat_M_cD,cshift,vx,vy,vz 
871626,27,655,265409.53,315815.16,87096.68,12353,1684,3,6.93169e+13,526.465,0.0757659,0.0325546,1.69435,0.162799,4.7825792,0.033767,0.0299172,40.2298,-528.543,389.047 
871463,27,492,89385.039,165257.48,35435.938,4160,8692,9,6.94334e+13,526.744,0.0863211,0.0263545,1.743,0.21376,5.6087676,0.166773,0.0681736,-418.688,257.619,189.287 
871203,27,232,157172.8,63173.363,293828.34,7315,13443,13,6.94814e+13,526.876,0.102552,0.0312993,1.71859,0.32274,6.5713156,0.359377,0.0645614,-76.6914,-37.7373,-178.926 
871252,27,281,164849.23,197992.94,233420.28,7672,7168,5,6.95792e+13,527.125,0.0776769,0.0279696,1.79261,0.173117,5.194154,0.508555,0.0243473,192.042,-46.1629,-206.675 
871562,27,591,182795.59,119933.0,52742.523,8508,10801,10,6.97342e+13,527.517,0.07344,0.0302093,1.68659,0.210704,4.6238052,0.367491,0.0201385,108.151,721.083,482.65 
871320,27,349,178182.88,302904.81,313909.91,8293,2285,2,6.98325e+13,527.739,0.0879907,0.0337333,1.64292,0.251619,5.3995539,0.209881,0.0427298,467.719,105.667,-365.084 
871535,27,564,275213.72,111168.21,247060.94,12809,11209,11,6.98336e+13,527.758,0.0791622,0.033089,1.68075,0.202404,4.9693787,0.354759,0.0499111,207.692,-115.417,-117.371 
871430,27,459,8613.7129,164083.39,127450.27,400,8746,8,6.99115e+13,527.949,0.0763905,0.0368086,1.80403,0.18355,5.149089,0.122797,0.0153813,-242.815,357.951,386.529 
871493,27,522,41584.453,168449.94,291891.09,1935,8543,8,6.99243e+13,527.981,0.0811176,0.0314155,1.58313,0.180641,4.7985154,0.305686,0.0588509,-415.685,388.328,-39.7754 
871797,27,826,55528.207,36686.387,323460.81,2584,14676,12,7.00807e+13,528.395,0.0945329,0.0313257,1.83731,0.40719,6.4942949,0.15054,0.0473714,-71.5399,243.156,-113.009 
871169,27,198,203119.41,208095.72,349813.81,9454,6698,6,7.01733e+13,528.605,0.0655194,0.0326176,2.07992,0.14256,5.0981294,0.0791745,0.0519907,1099.51,-705.983,129.741 
871533,27,562,241989.88,267786.75,199721.05,11263,3919,2,7.01982e+13,528.677,0.0726993,0.0308783,1.74501,0.17407,4.7463246,0.248696,0.050451,-415.87,-1062.21,375.432 
871510,27,539,255522.42,223144.44,153339.2,11893,5997,6,7.04677e+13,529.339,0.0707844,0.0326191,1.6713,0.159087,4.431987,0.0515718,0.0778903,-144.734,306.747,309.329 
871485,27,514,177108.67,261855.58,38193.094,8243,4195,6,7.08088e+13,530.208,0.0830289,0.0305422,1.64943,0.270149,5.1385765,0.294962,0.0751613,755.985,-263.656,-158.797 
871612,27,641,187241.05,185956.58,188474.73,8715,7728,6,7.08128e+13,530.22,0.068747,0.0342385,1.8698,0.183238,4.8231646,0.0743531,0.0383046,151.142,561.049,-243.257 
871236,27,265,213830.16,177055.94,1396.795,9952,8142,6,7.08203e+13,530.236,0.0823523,0.0337429,1.91628,0.215933,5.9215896,0.0823748,0.0448903,-196.891,266.797,-23.6483 
871363,27,392,345757.78,20201.816,151790.09,16093,15443,15,7.09386e+13,530.536,0.0703488,0.0347161,1.8531,0.180555,4.8943228,0.0598523,0.0177172,-254.84,-7.04082,-262.945 
871148,27,177,321440.94,218315.17,258848.64,14961,6222,7,7.0968e+13,530.598,0.0729559,0.0332826,2.11648,0.177559,5.7981715,0.0404687,0.0475169,125.39,-125.357,-182.712 
